ID,Brand,Name,Fragrance Type,Notes,size,Price
078,Lancome,Idole Now,Eau de Parfum,"Rose, Orchid, Vanilla",Sample,
079,Lancome,La Vie Est Belle,Eau de Parfum,"Iris, Patchouli, Sugar, Vanilla",Sample,
080,Laura Mercier,Ambre Vanille,Eau de Toilette,"Tangerine, Orchid, Heliotrope, Almond, Brown Sugar, Coconut, Sandalwood",Full,
081,Le Monde Gourmand,Ambre Etoile,Eau de Parfum,"Amber, Whipped Cream, Musk",Full,28
082,Le Monde Gourmand,Bisous de Fleur,Eau de Parfum,"Bergamot, Salt, Lemon, Pear, Tea, Orris, Cypress, Wood, Amber, Musk, Cashmere, Orcanox, Vetiver",Full,30
083,Le Monde Gourmand,Bonbon Blanc,Eau de Parfum,"Vanilla, Sugar, Rum",Full,20
084,Le Monde Gourmand,Cafe Caramel,Eau de Parfum,"Caramel, Pistachio, Cyclamen, Mocha, Vanilla, Sandalwood, Coffee",Full,28
085,Le Monde Gourmand,Chai Epice,Body Mist,"Violet, Fig, Musk, Wood",Full,32
086,Le Monde Gourmand,Coco Mystere,Eau de Parfum,"Coconut, Ginger, Jasmine, Sandalwood, Musk",Full,28
087,Le Monde Gourmand,Creme Brulee,Body Mist,"Vanilla, Whipped Cream, Caramel",Full,32
088,Le Monde Gourmand,Creme Vanille,Eau de Parfum,"Apricot, Jasmine, Brown Sugar",Full,28
089,Le Monde Gourmand,Hazelnut L’Hun,Eau de Parfum,"Cacao, Cashmere, Wood, Vanilla, Gingerbread, Heliotrope, Coconut",Full,28
090,Le Monde Gourmand,Sel Ocean,Body Mist,"Salt, Honeysuckle, Wood",Full,32
091,Lubin paris,Black Jade,Eau de Parfum,"Galbanum, Bergamot, Cardamom, Rose, Jasmine, Incense, Cinnamon, Sandalwood, Patchouli, Vanilla, Tonka, Amber",Full,150
092,Lush,Chelsea Morning,Solid,"Tonka, Vanilla, Lemon, Fenugreek",Travel,18
093,Lush,Hello Kitty & Friends,Eau de Parfum,"Cotton Candy, Linen, Vanilla, Orange, Patchouli",Full,65
094,Lush,Turmeric Latte,Eau de Parfum,"Tonka, Vanilla, Turmeric, Benzoin",Full,65
095,Lush,Vanillary,Solid,"Vanilla, Tonka, Jasmine",Travel,18
